sgg_code,sido,name,forest_area_ha,conifer_area_ha,growing_stock_m3,climate_station,summer_temp,heat_days,annual_precip
11140,서울,중구,151.0,8.0,21807.0,서울,25.8,19,1598.8
11170,서울,용산구,180.0,42.0,28579.0,서울,25.8,19,1598.8
11260,서울,중랑구,521.0,119.0,88477.0,서울,25.8,19,1598.8
11290,서울,성북구,928.0,174.0,134891.0,서울,25.8,19,1598.8
26140,부산,서구,678.0,276.0,122678.0,부산,25.3,9,2191.4
26170,부산,동구,276.0,171.0,51327.0,부산,25.3,9,2191.4
26200,부산,영도구,403.0,261.0,74410.0,부산,25.3,9,2191.4
26230,부산,부산진구,1040.0,474.0,181700.0,부산,25.3,9,2191.4
26260,부산,동래구,460.0,291.0,81181.0,부산,25.3,9,2191.4
26290,부산,남구,910.0,513.0,157865.0,부산,25.3,9,2191.4
26320,부산,북구,2285.0,950.0,428708.0,부산,25.3,9,2191.4
26350,부산,해운대구,2866.0,1811.0,528777.0,부산,25.3,9,2191.4
26380,부산,사하구,1371.0,589.0,236784.0,부산,25.3,9,2191.4
26410,부산,금정구,4120.0,1915.0,729162.0,부산,25.3,9,2191.4
26440,부산,강서구,4229.0,1982.0,762085.0,부산,25.3,9,2191.4
26470,부산,연제구,301.0,125.0,54352.0,부산,25.3,9,2191.4
26500,부산,수영구,244.0,108.0,44562.0,부산,25.3,9,2191.4
26530,부산,사상구,1248.0,578.0,225871.0,부산,25.3,9,2191.4
26710,부산,기장군,14482.0,5854.0,2586497.0,부산,25.3,9,2191.4
27140,대구,동구,11385.0,5365.0,2070555.0,대구,26.1,27,1321.8
27170,대구,서구,206.0,44.0,32019.0,대구,26.1,27,1321.8
27200,대구,남구,678.0,280.0,122877.0,대구,26.1,27,1321.8
27230,대구,북구,4602.0,2480.0,821050.0,대구,26.1,27,1321.8
27260,대구,수성구,3771.0,1180.0,682360.0,대구,26.1,27,1321.8
27290,대구,달서구,2119.0,932.0,381216.0,대구,26.1,27,1321.8
27710,대구,달성군,25577.0,11548.0,4635744.0,대구,26.1,27,1321.8
27720,대구,군위군,,,,대구,26.1,27,1321.8
29110,광주,동구,3461.0,977.0,512610.0,광주,25.7,20,2116.1
29140,광주,서구,791.0,308.0,109326.0,광주,25.7,20,2116.1
29155,광주,남구,1795.0,790.0,262792.0,광주,25.7,20,2116.1
29170,광주,북구,5398.0,2229.0,802662.0,광주,25.7,20,2116.1
29200,광주,광산구,7499.0,3631.0,1118848.0,광주,25.7,20,2116.1
30200,대전,유성구,9631.0,3516.0,1618233.0,대전,25.5,25,2042.5
31110,울산,중구,1422.0,926.0,246740.0,울산,24.9,6,1642.9
31140,울산,남구,1757.0,479.0,222405.0,울산,24.9,6,1642.9
31170,울산,동구,1872.0,955.0,323589.0,울산,24.9,6,1642.9
31200,울산,북구,11094.0,3884.0,1823301.0,울산,24.9,6,1642.9
31710,울산,울주군,51856.0,18667.0,8785791.0,울산,24.9,6,1642.9
36110,세종,세종시,24849.0,6704.0,3839903.0,세종,25.2,20,2103.3
41131,경기,성남시 수정구,6881.0,884.0,1125952.0,수원,25.0,15,1409.4
41133,경기,성남시 중원구,6881.0,884.0,1125952.0,수원,25.0,15,1409.4
