sgg_code,year,surveyed,infected,dead,treated,sido,sido_nm,infect_rate,treat_rate,surveyed_lag1,surveyed_lag2,infected_lag1,infected_lag2,dead_lag1,dead_lag2,infect_rate_lag1,infect_rate_lag2,treat_rate_lag1,treat_rate_lag2,infected_growth
11140,2016,2,0,2,2,11,서울,0.0,1.0,,,,,,,,,,,
11170,2016,7,0,7,7,11,서울,0.0,1.0,,,,,,,,,,,
11170,2017,4,0,4,4,11,서울,0.0,1.0,7.0,,0.0,,7.0,,0.0,,1.0,,
11260,2016,12,0,12,12,11,서울,0.0,1.0,,,,,,,,,,,
11260,2017,43,0,43,43,11,서울,0.0,1.0,12.0,,0.0,,12.0,,0.0,,1.0,,
11260,2018,5,0,5,5,11,서울,0.0,1.0,43.0,12.0,0.0,0.0,43.0,12.0,0.0,0.0,1.0,1.0,0.0
11290,2016,10,0,10,10,11,서울,0.0,1.0,,,,,,,,,,,
11290,2017,5,0,5,5,11,서울,0.0,1.0,10.0,,0.0,,10.0,,0.0,,1.0,,
11290,2018,2,0,2,2,11,서울,0.0,1.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,1.0,0.0
26140,2018,807,0,807,807,26,부산,0.0,1.0,,,,,,,,,,,
26140,2020,57,6,17,57,26,부산,0.10526315789473684,1.0,807.0,,0.0,,807.0,,0.0,,1.0,,
26140,2021,25,4,8,25,26,부산,0.16,1.0,57.0,807.0,6.0,0.0,17.0,807.0,0.10526315789473684,0.0,1.0,1.0,6.0
26140,2022,61,6,61,61,26,부산,0.09836065573770492,1.0,25.0,57.0,4.0,6.0,8.0,17.0,0.16,0.10526315789473684,1.0,1.0,-2.0
26140,2023,30,0,30,30,26,부산,0.0,1.0,61.0,25.0,6.0,4.0,61.0,8.0,0.09836065573770492,0.16,1.0,1.0,2.0
26170,2020,2,0,2,2,26,부산,0.0,1.0,,,,,,,,,,,
26170,2021,89,0,89,89,26,부산,0.0,1.0,2.0,,0.0,,2.0,,0.0,,1.0,,
